GEO.id,GEO.id2,Geography,Estimate; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 to 84 years,Estimate; SEX AND AGE - 85 years and over
0500000US48137,48137,"Edwards County, Texas",194,103,257,257,113,173,371,152,26
0500000US48139,48139,"Ellis County, Texas",10433,19829,21364,22388,10228,9076,11731,5307,1846
0500000US48141,48141,"El Paso County, Texas",71556,119446,104870,98394,45582,37159,51578,30782,11285
0500000US48143,48143,"Erath County, Texas",5997,4778,4081,4498,2052,2091,3072,1681,793
0500000US48145,48145,"Falls County, Texas",1240,2315,2036,2415,1146,1092,1534,898,433
0500000US48147,48147,"Fannin County, Texas",2046,3975,4092,4845,2424,2089,3623,1859,803
0500000US48149,48149,"Fayette County, Texas",1212,2184,2453,3374,2185,1710,3248,1752,897
0500000US48151,48151,"Fisher County, Texas",237,467,423,360,329,244,475,319,100
0500000US48153,48153,"Floyd County, Texas",379,715,713,639,416,322,591,378,149
0500000US48155,48155,"Foard County, Texas",58,87,143,195,56,89,193,139,52
0500000US48157,48157,"Fort Bend County, Texas",39935,85049,104477,98512,46350,35135,42339,17012,5562
0500000US48159,48159,"Franklin County, Texas",500,1066,1207,1384,797,744,1176,722,162
0500000US48161,48161,"Freestone County, Texas",1013,2171,2636,2619,1401,1226,2098,1153,369
0500000US48163,48163,"Frio County, Texas",2118,2907,2156,2165,669,938,1253,735,280
0500000US48165,48165,"Gaines County, Texas",1309,2645,2295,2234,1001,797,920,635,244
0500000US48167,48167,"Galveston County, Texas",19822,41608,40880,44871,21861,19616,24319,11552,4359
0500000US48169,48169,"Garza County, Texas",442,1066,1373,902,457,282,340,319,43
0500000US48171,48171,"Gillespie County, Texas",915,1931,2564,3034,1808,2213,3772,2469,1071
0500000US48173,48173,"Glasscock County, Texas",38,99,225,109,152,70,67,81,18
0500000US48175,48175,"Goliad County, Texas",495,564,902,1055,626,575,896,541,81
0500000US48177,48177,"Gonzales County, Texas",1349,2318,2250,2625,1442,1106,1938,857,480
0500000US48179,48179,"Gray County, Texas",1354,3216,3036,2918,1512,1095,1892,1187,511
0500000US48181,48181,"Grayson County, Texas",7799,14612,14408,16736,8698,7959,12244,6323,2452
0500000US48183,48183,"Gregg County, Texas",9149,16916,14709,15179,8105,6616,9370,5598,2435
0500000US48185,48185,"Grimes County, Texas",1504,3147,3500,3868,1667,2126,2682,1195,523
0500000US48187,48187,"Guadalupe County, Texas",9125,18330,20333,20931,9283,7326,11419,5754,1983
0500000US48189,48189,"Hale County, Texas",2868,4813,4047,4224,2059,1565,2415,1440,595
0500000US48191,48191,"Hall County, Texas",137,206,310,404,180,249,395,231,98
0500000US48193,48193,"Hamilton County, Texas",464,690,852,1010,605,609,1101,694,351
0500000US48195,48195,"Hansford County, Texas",358,609,737,662,363,220,485,276,102
0500000US48197,48197,"Hardeman County, Texas",174,461,422,547,369,238,428,204,121
0500000US48199,48199,"Hardin County, Texas",3242,6966,7088,7369,3878,3449,5161,2424,927
0500000US48201,48201,"Harris County, Texas",320151,718046,633095,565231,256063,211337,251531,113737,43550
0500000US48203,48203,"Harrison County, Texas",4412,7761,7923,8811,4604,4189,5907,2801,1420
0500000US48205,48205,"Hartley County, Texas",246,1014,1060,828,381,245,473,279,125
0500000US48207,48207,"Haskell County, Texas",463,828,720,715,310,470,592,470,214
0500000US48209,48209,"Hays County, Texas",23904,25801,23721,21749,10134,9064,12031,5099,1512
0500000US48211,48211,"Hemphill County, Texas",220,483,595,428,278,180,323,95,117
0500000US48213,48213,"Henderson County, Texas",4617,8205,8719,10453,6040,5373,9675,5104,1725
0500000US48215,48215,"Hidalgo County, Texas",64729,109647,107718,87287,35994,30724,48112,27599,10199
0500000US48217,48217,"Hill County, Texas",1981,3719,3800,4518,2456,2290,4037,2194,745
0500000US48219,48219,"Hockley County, Texas",1940,3104,2552,2753,1375,1333,1794,999,367
0500000US48221,48221,"Hood County, Texas",2579,5532,5324,6927,4194,4039,7399,4181,1357
0500000US48223,48223,"Hopkins County, Texas",2086,4209,4183,4736,2523,1975,3534,2143,601
0500000US48225,48225,"Houston County, Texas",1354,2473,2878,3417,1765,1416,2558,1584,542
0500000US48227,48227,"Howard County, Texas",2898,5297,5374,5092,2359,1837,2445,1590,506
0500000US48229,48229,"Hudspeth County, Texas",201,414,456,390,251,217,357,155,46
0500000US48231,48231,"Hunt County, Texas",6176,10689,10529,12404,6118,5412,8090,4040,1484
0500000US48233,48233,"Hutchinson County, Texas",1402,2627,2741,2665,1520,1372,1768,1098,367
0500000US48235,48235,"Irion County, Texas",108,169,139,249,110,134,149,100,29
0500000US48237,48237,"Jack County, Texas",690,1260,1105,1272,554,524,797,383,210
