GEO.id,GEO.id2,Geography,Total population,Total population - Hispanic or Latino (of any race),Total population - Not Hispanic or Latino,Total population - Not Hispanic or Latino - White alone,Total population - Not Hispanic or Latino - Black or African American alone,Total population - Not Hispanic or Latino - Asian alone
0500000US48165,48165,"Gaines County, Texas",19485,7742,11743,11111,409,93
0500000US48167,48167,"Galveston County, Texas",314485,74081,240404,183283,40140,10145
0500000US48169,48169,"Garza County, Texas",6614,3652,2962,2672,225,17
0500000US48171,48171,"Gillespie County, Texas",25732,5613,20119,19644,41,69
0500000US48173,48173,"Glasscock County, Texas",1253,467,786,786,0,0
0500000US48175,48175,"Goliad County, Texas",7463,2634,4829,4388,391,16
0500000US48177,48177,"Gonzales County, Texas",20370,10108,10262,8710,1246,21
0500000US48179,48179,"Gray County, Texas",23028,6300,16728,14957,981,143
0500000US48181,48181,"Grayson County, Texas",124231,15356,108875,95498,7171,1439
0500000US48183,48183,"Gregg County, Texas",123283,22025,101258,72558,24548,1658
0500000US48185,48185,"Grimes County, Texas",27140,6250,20890,16069,4320,25
0500000US48187,48187,"Guadalupe County, Texas",147313,54412,92901,76796,9774,2419
0500000US48189,48189,"Hale County, Texas",35007,20428,14579,12278,1427,141
0500000US48191,48191,"Hall County, Texas",3162,1075,2087,1816,212,15
0500000US48193,48193,"Hamilton County, Texas",8232,947,7285,7060,59,21
0500000US48195,48195,"Hansford County, Texas",5552,2534,3018,2965,3,18
0500000US48197,48197,"Hardeman County, Texas",3952,911,3041,2630,322,14
0500000US48199,48199,"Hardin County, Texas",55624,2879,52745,48496,3091,321
0500000US48201,48201,"Harris County, Texas",4434257,1855604,2578653,1382851,821066,293797
0500000US48203,48203,"Harrison County, Texas",66431,8193,58238,42652,14184,349
0500000US48205,48205,"Hartley County, Texas",5966,1515,4451,3748,490,28
0500000US48207,48207,"Haskell County, Texas",5812,1543,4269,3897,179,62
0500000US48209,48209,"Hays County, Texas",185686,68832,116854,104286,6473,2330
0500000US48211,48211,"Hemphill County, Texas",4151,1446,2705,2558,49,10
0500000US48213,48213,"Henderson County, Texas",79213,9312,69901,62852,5136,515
0500000US48215,48215,"Hidalgo County, Texas",828334,757725,70609,57238,3454,7851
0500000US48217,48217,"Hill County, Texas",34901,6835,28066,25086,2384,128
0500000US48219,48219,"Hockley County, Texas",23377,10843,12534,11218,841,65
0500000US48221,48221,"Hood County, Texas",54217,6308,47909,46262,365,350
0500000US48223,48223,"Hopkins County, Texas",35844,5732,30112,26663,2408,245
0500000US48225,48225,"Houston County, Texas",22802,2408,20394,14151,5697,102
0500000US48227,48227,"Howard County, Texas",36423,14757,21666,18500,1820,312
0500000US48229,48229,"Hudspeth County, Texas",3481,2729,752,653,40,45
