GEO.id,GEO.id2,Geography,Estimate; INCOME AND BENEFITS - Total households - Mean household income (dollars)
0500000US48263,48263,"Kent County, Texas",64264
0500000US48265,48265,"Kerr County, Texas",62410
0500000US48267,48267,"Kimble County, Texas",59081
0500000US48269,48269,"King County, Texas",69467
0500000US48271,48271,"Kinney County, Texas",47415
0500000US48273,48273,"Kleberg County, Texas",55761
0500000US48275,48275,"Knox County, Texas",50504
0500000US48277,48277,"Lamar County, Texas",55925
0500000US48279,48279,"Lamb County, Texas",55300
0500000US48281,48281,"Lampasas County, Texas",64268
0500000US48283,48283,"La Salle County, Texas",75384
0500000US48285,48285,"Lavaca County, Texas",69574
0500000US48287,48287,"Lee County, Texas",68407
0500000US48289,48289,"Leon County, Texas",67687
0500000US48291,48291,"Liberty County, Texas",64448
0500000US48293,48293,"Limestone County, Texas",54332
0500000US48295,48295,"Lipscomb County, Texas",76196
0500000US48297,48297,"Live Oak County, Texas",64144
0500000US48299,48299,"Llano County, Texas",75669
0500000US48301,48301,"Loving County, Texas",60981
0500000US48303,48303,"Lubbock County, Texas",65932
0500000US48305,48305,"Lynn County, Texas",61534
0500000US48307,48307,"McCulloch County, Texas",55385
0500000US48309,48309,"McLennan County, Texas",61340
0500000US48311,48311,"McMullen County, Texas",79916
0500000US48313,48313,"Madison County, Texas",58113
0500000US48315,48315,"Marion County, Texas",51478
0500000US48317,48317,"Martin County, Texas",88622
0500000US48319,48319,"Mason County, Texas",58261
0500000US48321,48321,"Matagorda County, Texas",58652
0500000US48323,48323,"Maverick County, Texas",52479
0500000US48325,48325,"Medina County, Texas",73950
0500000US48327,48327,"Menard County, Texas",53506
0500000US48329,48329,"Midland County, Texas",103206
0500000US48331,48331,"Milam County, Texas",56874
0500000US48333,48333,"Mills County, Texas",58743
0500000US48335,48335,"Mitchell County, Texas",66104
0500000US48337,48337,"Montague County, Texas",59864
0500000US48339,48339,"Montgomery County, Texas",100283
0500000US48341,48341,"Moore County, Texas",62384
0500000US48343,48343,"Morris County, Texas",53307
0500000US48345,48345,"Motley County, Texas",48472
0500000US48347,48347,"Nacogdoches County, Texas",56497
0500000US48349,48349,"Navarro County, Texas",58274
0500000US48351,48351,"Newton County, Texas",49889
0500000US48353,48353,"Nolan County, Texas",55938
0500000US48355,48355,"Nueces County, Texas",69373
0500000US48357,48357,"Ochiltree County, Texas",71152
0500000US48359,48359,"Oldham County, Texas",78451
0500000US48361,48361,"Orange County, Texas",67548
0500000US48363,48363,"Palo Pinto County, Texas",63612
0500000US48365,48365,"Panola County, Texas",64520
0500000US48367,48367,"Parker County, Texas",89095
0500000US48369,48369,"Parmer County, Texas",62974
0500000US48371,48371,"Pecos County, Texas",62131
0500000US48373,48373,"Polk County, Texas",56343
0500000US48375,48375,"Potter County, Texas",57628
0500000US48377,48377,"Presidio County, Texas",42069
0500000US48379,48379,"Rains County, Texas",57710
0500000US48381,48381,"Randall County, Texas",79627
0500000US48383,48383,"Reagan County, Texas",71697
0500000US48385,48385,"Real County, Texas",49153
0500000US48387,48387,"Red River County, Texas",48653
0500000US48389,48389,"Reeves County, Texas",61591
0500000US48391,48391,"Refugio County, Texas",61992
0500000US48393,48393,"Roberts County, Texas",85377
0500000US48395,48395,"Robertson County, Texas",58767
0500000US48397,48397,"Rockwall County, Texas",108537
0500000US48399,48399,"Runnels County, Texas",59007
0500000US48401,48401,"Rusk County, Texas",63853
0500000US48403,48403,"Sabine County, Texas",47902
0500000US48405,48405,"San Augustine County, Texas",48447
0500000US48407,48407,"San Jacinto County, Texas",60405
0500000US48409,48409,"San Patricio County, Texas",66826
0500000US48411,48411,"San Saba County, Texas",51356
0500000US48413,48413,"Schleicher County, Texas",71265
0500000US48415,48415,"Scurry County, Texas",68889
0500000US48417,48417,"Shackelford County, Texas",59325
0500000US48419,48419,"Shelby County, Texas",52839
0500000US48421,48421,"Sherman County, Texas",67352
0500000US48423,48423,"Smith County, Texas",67619
0500000US48425,48425,"Somervell County, Texas",67919
0500000US48427,48427,"Starr County, Texas",42625
0500000US48429,48429,"Stephens County, Texas",58536
0500000US48431,48431,"Sterling County, Texas",64502
0500000US48433,48433,"Stonewall County, Texas",59812
0500000US48435,48435,"Sutton County, Texas",70246
0500000US48437,48437,"Swisher County, Texas",50181
0500000US48439,48439,"Tarrant County, Texas",82118
0500000US48441,48441,"Taylor County, Texas",63457
0500000US48443,48443,"Terrell County, Texas",45467
0500000US48445,48445,"Terry County, Texas",64247
0500000US48447,48447,"Throckmorton County, Texas",60085
0500000US48449,48449,"Titus County, Texas",60327
0500000US48451,48451,"Tom Green County, Texas",66152
0500000US48453,48453,"Travis County, Texas",92537
0500000US48455,48455,"Trinity County, Texas",46886
0500000US48457,48457,"Tyler County, Texas",56676
0500000US48459,48459,"Upshur County, Texas",63422
0500000US48461,48461,"Upton County, Texas",65869
0500000US48463,48463,"Uvalde County, Texas",52400
0500000US48465,48465,"Val Verde County, Texas",59398
0500000US48467,48467,"Van Zandt County, Texas",63235
0500000US48469,48469,"Victoria County, Texas",74122
0500000US48471,48471,"Walker County, Texas",54077
0500000US48473,48473,"Waller County, Texas",72273
0500000US48475,48475,"Ward County, Texas",71697
0500000US48477,48477,"Washington County, Texas",67789
0500000US48479,48479,"Webb County, Texas",54865
0500000US48481,48481,"Wharton County, Texas",62023
0500000US48483,48483,"Wheeler County, Texas",66320
0500000US48485,48485,"Wichita County, Texas",60445
0500000US48487,48487,"Wilbarger County, Texas",53197
0500000US48489,48489,"Willacy County, Texas",41114
0500000US48491,48491,"Williamson County, Texas",91639
0500000US48493,48493,"Wilson County, Texas",81361
0500000US48495,48495,"Winkler County, Texas",64547
0500000US48497,48497,"Wise County, Texas",74948
0500000US48499,48499,"Wood County, Texas",63469
0500000US48501,48501,"Yoakum County, Texas",70020
0500000US48503,48503,"Young County, Texas",64693
0500000US48505,48505,"Zapata County, Texas",48565
0500000US48507,48507,"Zavala County, Texas",39395
