GEO.id,GEO.id2,Geography,SEX AND AGE - Total population,SEX AND AGE - Total population - Male,SEX AND AGE - Total population - Female
0500000US48211,48211,"Hemphill County, Texas",4151,1985,2166
0500000US48213,48213,"Henderson County, Texas",79213,38586,40627
0500000US48215,48215,"Hidalgo County, Texas",828334,404079,424255
0500000US48217,48217,"Hill County, Texas",34901,17216,17685
0500000US48219,48219,"Hockley County, Texas",23377,11525,11852
0500000US48221,48221,"Hood County, Texas",54217,26724,27493
0500000US48223,48223,"Hopkins County, Texas",35844,17592,18252
0500000US48225,48225,"Houston County, Texas",22802,12225,10577
0500000US48227,48227,"Howard County, Texas",36423,20654,15769
0500000US48229,48229,"Hudspeth County, Texas",3481,1745,1736
0500000US48231,48231,"Hunt County, Texas",89068,43952,45116
0500000US48233,48233,"Hutchinson County, Texas",21782,10853,10929
0500000US48235,48235,"Irion County, Texas",1631,838,793
0500000US48237,48237,"Jack County, Texas",8866,5037,3829
0500000US48239,48239,"Jackson County, Texas",14678,7199,7479
0500000US48241,48241,"Jasper County, Texas",35640,17406,18234
0500000US48243,48243,"Jeff Davis County, Texas",2221,1054,1167
0500000US48245,48245,"Jefferson County, Texas",252993,129384,123609
0500000US48247,48247,"Jim Hogg County, Texas",5218,2605,2613
0500000US48249,48249,"Jim Wells County, Texas",41486,20332,21154
0500000US48251,48251,"Johnson County, Texas",157544,78506,79038
0500000US48253,48253,"Jones County, Texas",19944,12822,7122
0500000US48255,48255,"Karnes County, Texas",14984,8933,6051
0500000US48257,48257,"Kaufman County, Texas",111830,54970,56860
0500000US48259,48259,"Kendall County, Texas",39010,18735,20275
0500000US48261,48261,"Kenedy County, Texas",558,297,261
0500000US48263,48263,"Kent County, Texas",667,322,345
0500000US48265,48265,"Kerr County, Texas",50505,24368,26137
0500000US48267,48267,"Kimble County, Texas",4453,2162,2291
0500000US48269,48269,"King County, Texas",274,141,133
0500000US48271,48271,"Kinney County, Texas",3578,2111,1467
0500000US48273,48273,"Kleberg County, Texas",31877,16476,15401
0500000US48275,48275,"Knox County, Texas",3807,1938,1869
0500000US48277,48277,"Lamar County, Texas",49626,23988,25638
0500000US48279,48279,"Lamb County, Texas",13561,6873,6688
0500000US48281,48281,"Lampasas County, Texas",20357,9972,10385
0500000US48283,48283,"La Salle County, Texas",7319,4240,3079
0500000US48285,48285,"Lavaca County, Texas",19654,9520,10134
0500000US48287,48287,"Lee County, Texas",16754,8456,8298
0500000US48289,48289,"Leon County, Texas",16923,8410,8513
0500000US48291,48291,"Liberty County, Texas",78598,38970,39628
0500000US48293,48293,"Limestone County, Texas",23469,12023,11446
0500000US48295,48295,"Lipscomb County, Texas",3507,1898,1609
0500000US48297,48297,"Live Oak County, Texas",11976,6566,5410
0500000US48299,48299,"Llano County, Texas",19624,9518,10106
0500000US48301,48301,"Loving County, Texas",76,40,36
0500000US48303,48303,"Lubbock County, Texas",294682,145467,149215
0500000US48305,48305,"Lynn County, Texas",5723,2891,2832
0500000US48307,48307,"McCulloch County, Texas",8242,4182,4060
0500000US48309,48309,"McLennan County, Texas",243394,118704,124690
0500000US48311,48311,"McMullen County, Texas",671,365,306
0500000US48313,48313,"Madison County, Texas",13843,8758,5085
0500000US48315,48315,"Marion County, Texas",10191,5013,5178
0500000US48317,48317,"Martin County, Texas",5451,2783,2668
0500000US48319,48319,"Mason County, Texas",4064,2095,1969
0500000US48321,48321,"Matagorda County, Texas",36719,18133,18586
0500000US48323,48323,"Maverick County, Texas",56830,28129,28701
0500000US48325,48325,"Medina County, Texas",47920,25100,22820
0500000US48327,48327,"Menard County, Texas",2163,1150,1013
0500000US48329,48329,"Midland County, Texas",155817,77923,77894
0500000US48331,48331,"Milam County, Texas",24372,12126,12246
0500000US48333,48333,"Mills County, Texas",4871,2332,2539
0500000US48335,48335,"Mitchell County, Texas",8995,5553,3442
0500000US48337,48337,"Montague County, Texas",19384,9485,9899
0500000US48339,48339,"Montgomery County, Texas",518849,256808,262041
0500000US48341,48341,"Moore County, Texas",22186,11429,10757
0500000US48343,48343,"Morris County, Texas",12653,6069,6584
0500000US48345,48345,"Motley County, Texas",1022,541,481
0500000US48347,48347,"Nacogdoches County, Texas",65556,31292,34264
0500000US48349,48349,"Navarro County, Texas",48177,23714,24463
0500000US48351,48351,"Newton County, Texas",14138,7082,7056
0500000US48353,48353,"Nolan County, Texas",15017,7593,7424
0500000US48355,48355,"Nueces County, Texas",355667,175151,180516
0500000US48357,48357,"Ochiltree County, Texas",10577,5398,5179
0500000US48359,48359,"Oldham County, Texas",2069,1082,987
0500000US48361,48361,"Orange County, Texas",83751,41429,42322
0500000US48363,48363,"Palo Pinto County, Texas",27922,13754,14168
0500000US48365,48365,"Panola County, Texas",23771,11688,12083
0500000US48367,48367,"Parker County, Texas",123601,61585,62016
0500000US48369,48369,"Parmer County, Texas",9921,5097,4824
0500000US48371,48371,"Pecos County, Texas",15826,9075,6751
0500000US48373,48373,"Polk County, Texas",46583,24995,21588
0500000US48375,48375,"Potter County, Texas",121883,62660,59223
0500000US48377,48377,"Presidio County, Texas",7144,3508,3636
0500000US48379,48379,"Rains County, Texas",11087,5653,5434
0500000US48381,48381,"Randall County, Texas",128603,63181,65422
0500000US48383,48383,"Reagan County, Texas",3625,1933,1692
0500000US48385,48385,"Real County, Texas",3348,1611,1737
0500000US48387,48387,"Red River County, Texas",12455,5917,6538
0500000US48389,48389,"Reeves County, Texas",14438,8676,5762
0500000US48391,48391,"Refugio County, Texas",7315,3599,3716
0500000US48393,48393,"Roberts County, Texas",939,457,482
0500000US48395,48395,"Robertson County, Texas",16537,8214,8323
0500000US48397,48397,"Rockwall County, Texas",88010,43084,44926
0500000US48399,48399,"Runnels County, Texas",10411,5181,5230
